No;Kode;Nama;Alamat;latitude;longitude
165;494703;MURIATEN;PASAR SUKOMORO;-7.580401433;111.9188434
166;494704;YUSUP PAK;DS BULUPUTREN KEC. SUKOMORO;-7.581286176;111.9201336
167;494705;CHOLIS;BULUPUTREN;-7.58121433;111.9200622
168;494706;NUR SALIM;PASAR SUKOMORO;-7.581228658;111.9211557
169;494707;BU YATI;DS PUTREN;-7.591369059;111.9291564
170;494781;B. IDA;SELOREJO - BAGOR;-7.580247203;111.8695554
171;494760;YULI YANI;DSN  KALANGAN DS MOJOSETO;-7.57316136;111.9906162
172;401988;POJOK;GEBANG AYU GEDUNG DOWO;-7.568757;111.913094
173;403472;SITI NURHAYATI;KEREP KIDUL BAGOR;-7.574185;111.878867
174;403577;TOKO MBAK NELY;DSN MOROBAU KEREP KIDUL;-7.580738;111.874543
175;403578;BU SRI UTAMI;DS BUDURAN BAGOR JL P.SUDIRMAN;-7.598753;111.873026
176;493633;BU JI;BAGOR;-7.574072;111.879303
177;493634;GUNAWAN;BAGOR;-7.574181;111.878882
178;494374;TOKO SLAMET;Kerep;-7.58642;111.878548
179;494445;GUNADI;BALONGREJO;-7.603122;111.849183
180;494472;HARSONO;PUGRUK - BAGOR;-7.60100575;111.8587214
181;494492;SUTINI;BALONGREJO;-7.601925933;111.8522147
182;494569;TK SUROSO;KEREPKIDUL 01  04;-7.575124598;111.8761499
183;494572;PAK LATIF;DSN GAWOK 001 002;-7.609356881;111.8461097
184;494618;BU RAMINEM;BUDURAN NGANJUK;-7.59735;111.873475
185;494631;MARA CELL;KEDONDONG;-7.581822506;111.8755485
186;493599;EKA MART;BALONGREJO;-7.582481;111.878591
187;493955;PANCA USAHA II;MOJOREMBUN;-7.583558;111.878524
188;494326;HERMIN PURWANINGTYAS;Jln Mayjend sutoyo X;-7.569022;111.84896
189;900195;INDAH JAYA;MUNGKUNG  RT 01 RW 01;-7.573289;111.8790296
190;3194;SUMBER REJEKI;MADIUN RAYA;-7.569016;111.848976
191;403567;TK MASHUDI;DSN JEGANG RT02 RW01;-7.570432;111.800219
192;494305;ELOK BU;DS NGADIPIRO-WILANGAN;-7.607768;111.793929
193;494385;EDY WARDOYO;Ds Wilangan Rt 01 Rw 01;-7.558564;111.80476
194;494610;BUMI ABADI;DSN TAMPANG;-7.586748;111.796452
195;494611;TK. RUMADJI;PASAR NGADIPIRO;-7.602845;111.791472
196;494616;BU WAHYU;WILANGAN RT02 RW01;-7.559247;111.801214
197;408;TK STD CERIA;STADION ANJUK LADANG;-7.568756;111.849007
